Temperature,Humidity,Water Level,Status
27.6,83,1.5,1
27.6,83,1.5,1
27.6,83,1.5,1
27.6,83,1.5,1
27.6,83,1.5,1
27.6,83,1.5,1
27.6,83,1.5,1
27.8,83,1.5,1
27.8,83,1.5,1
27.8,83,1.5,1
27.8,83,1.5,1
27.8,83,1.5,1
27.8,83,1.5,1
28.1,83,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.1,81,1.5,1
28.4,81,1.5,1
28.4,81,1.5,1
28.4,81,1.5,1
28.4,81,1.5,1
28.4,81,1.5,1
28.4,81,1.5,1
28.5,81,1.5,1
28.5,81,1.5,1
28.7,81,1.5,1
28.7,81,1.5,1
29.3,82,1.5,1
29.3,82,1.5,1
29.3,82,1.5,1
29.7,82,1.5,1
29.7,82,1.5,1
30.4,82,1.5,1
30.4,82,1.5,1
30.4,82,1.5,1
30.6,83,1.5,1
30.6,83,1.5,1
30.6,82,1.5,1
31.3,81,1.5,1
31.3,81,1.5,1
31.3,81,1.5,1
31.6,81,1.5,1
31.6,81,1.5,1
31.6,81,1.5,1
31.6,81,1.5,1
32.4,82,1.5,1
32.4,81,1.5,1
32.4,81,1.5,1
32.4,81,1.5,1
31.7,81,1.5,1
31.7,81,1.5,1
31.7,81,1.5,1
31.6,81,1.5,1
31.6,80,1.5,1
31.6,80,1.5,1
30.6,80,1.5,1
30.6,80,1.5,1
30.6,80,1.5,1
31.3,80,1.5,1
31.1,80,1.5,1
30,79,1.5,1
30,79,1.5,1
29.8,79,1.5,1
29.8,79,1.5,1
29.8,79,1.5,1
29.5,79,1.5,1
29.5,79,1.5,1
29.5,79,1.5,1
29.3,79,1.5,1
29.3,80,1.5,1
29.3,80,1.5,1
29.3,80,1.5,1
28.6,80,1.5,1
